id,name,english_name,description,refine_description,special_refine_description
2165,"遠反・竜専用",Dist.Counter(D),"敵から攻撃された時、距離に関係なく反撃する","",""
2166,"内より溢れる魔力","Inner Wellspring","奥義が発動しやすい(発動カウント-1)<br>ターン開始時、周囲2マス以内に味方がいる時、自分に【見切り・追撃効果】を付与(1ターン)、かつ、奥義発動カウントが最大値なら、奥義発動カウント-1<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-1","奥義が発動しやすい(発動カウント-1)<br>ターン開始時、周囲2マス以内に味方がいる時、自分に【見切り・追撃効果】を付与(1ターン)、かつ奥義発動カウントが最大値なら、奥義発動カウント-1<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、最初に受けた攻撃と2回攻撃のダメージ-速さの20%、かつ、戦闘(または戦闘前)で奥義を発動した場合、戦闘後、奥義発動カウント-1","【再移動(1)】を発動可能<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防が、戦闘開始時の速さの10%+5だけ増加、ダメージ+7(範囲奥義を除く)、自身の奥義発動カウント変動量-を無効、かつ奥義発動時、敵の奥義以外のスキルによる「ダメージを○○%軽減」を無効(範囲奥義を除く)"
2167,"天刻の拍動","Devine Pulse","速さの25%を奥義ダメージに加算<br>次の敵の攻撃のダメージを75%軽減(その戦闘中のみ)<br>次の自分の攻撃のダメージ+速さの20%(その戦闘中のみ)","",""
2168,"速さの先制3","Spd Preempt 3","戦闘中、敵の速さ-4<br>弓暗器、魔法、杖の敵から攻撃された時、速さが敵より1以上高ければ、先制攻撃(自分が護り手発動中は除く)","",""
2169,"聖日ティルフィング","Holytide Tyrfing","【再移動(2)】を発動可能<br>奥義が発動しやすい(発動カウント-1)<br>攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、戦闘中、自身の攻撃、速さ、守備、魔防+5、かつ、移動後のマスが移動前から○マス離れていれば、ダメージが、○×敵の守備×10%だけ増加(○は最大4)(範囲奥義除く)<br>攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、かつ、戦闘開始時、自身のHPが25%以上、かつ、自身のHPが2以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(1戦闘1回のみ。奥義以外の「敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減する効果」とは重複しない)","【再移動(2)】を発動可能<br>奥義が発動しやすい(発動カウント-1)<br>攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、戦闘中、自身の攻撃、速さ、守備、魔防+5、かつ移動後のマスが移動前から○マス離れていれば、ダメージが、○×敵の守備×10%だけ増加(○は最大4)(範囲奥義除く)<br>攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、かつ戦闘開始時、自身のHPが25%以上、かつ自身のHPが2以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(1戦闘1回のみ、奥義以外の「敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減する効果」とは重複しない)","戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防が自分を中心とした縦3列と横3列にいる敵の数✕2+5だけ増加(最大11)、敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て)(範囲奥義を除く)、最初に受けた攻撃と2回攻撃のダメージ-○、敵の奥義による攻撃時、受けるダメージ-○(○は、攻撃した側の移動前と移動後のマスの距離✕3、最大12、範囲奥義を除く)、戦闘後、7回復"
2170,"攻撃速さの激突4","Atk/Spd Clash 4","攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、戦闘中、自分の攻撃、速さ+6、さらに、移動後のマスが移動前から○マス離れていれば、自分の攻撃、速さ+○(最大4)<br>○が2以上の時、戦闘中、自分の攻撃、速さの弱化を無効","",""
2171,"光をつぐもの","Heir to Light","ターン開始時、周囲2マスに味方がいれば自分の攻撃、速さ+6、かつ自分の移動+1(1ターン、重複しない)、【見切り・追撃効果】を付与(1ターン)","",""
2172,"悠遠のブレス","Remote Breath","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、絶対追撃、攻撃時発動の奥義装備時、戦闘中、自分の最初の攻撃前に自身の奥義発動カウント-1<br>周囲3マス以内に味方がいる時、かつ、敵が攻撃時発動奥義装備時、かつ、魔防が敵より5以上高い時、戦闘中、敵の最初の攻撃前に敵の奥義発動カウント+1(奥義発動カウントの最大値は超えない)","竜特効<br>射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、絶対追撃、攻撃時発動の奥義装備時、戦闘中、自分の最初の攻撃前に自身の奥義発動カウント-1<br>周囲3マス以内に味方がいる時、かつ敵が攻撃時発動奥義装備時、かつ魔防が敵より5以上高い時、戦闘中、敵の最初の攻撃前に敵の奥義発動カウント+1(奥義発動カウントの最大値は超えない)","敵から攻撃された時、距離に関係なく反撃する<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防が、戦闘開始時の魔防の10%+5だけ増加、受けるダメージ-魔防の20%(範囲奥義を除く)、敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て)(範囲奥義を除く)"
2173,"攻撃魔防の秘奥4","Atk/Res Finish 4","周囲3マス以内に味方がいる時、戦闘中、攻撃、魔防+7、かつ、奥義が発動可能な状態の時、または、この戦闘(戦闘前、戦闘中)で奥義を発動済みの時、戦闘中、ダメージ+5(範囲奥義除く)、かつ、自分の攻撃でダメージを与えた時、7回復(与えたダメージが0でも効果は発動)","",""
2174,"新たなる神竜王","New Divinity","戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、魔防-5、かつ、魔防が敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを魔防の差×4%軽減(最大40%)(巨影の範囲奥義を除く)<br>戦闘開始時、自身のHPが40%以上なら、戦闘中、敵は追撃不可","",""
2175,"ゲイルドリヴル",Geirdriful,"重装特効<br>奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、さらに、攻撃、速さ、守備、魔防が、自身の【有利な状態】と【不利な状態異常】の数×2だけ増加(強化と弱化は除く)、かつ、最初に受けた攻撃のダメージを40%軽減、かつ、自身が【有利な状態】を受けている時、戦闘中、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","重装特効<br>奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防+5、さらに、攻撃、速さ、守備、魔防が、自身の【有利な状態】と【不利な状態異常】の数×2だけ増加(強化と弱化は除く)、かつ最初に受けた攻撃と2回攻撃のダメージを40%軽減、かつ自身が【有利な状態】を受けている時、戦闘中、奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","移動系補助(体当たり、引き戻し、回り込み等)を使用した時、または自分に使用された時、自分に「戦闘中、敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て)(範囲奥義を除く)」、「敵の強化の+を無効」を付与(1ターン)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5、ダメージ+○×4(最大16、範囲奥義を除く)(○は、自身の【有利な状態】の数(強化は除く))、戦闘後、7回復"
2176,"運命は変わった!","A Fate Changed!","対象を自分の反対側の位置に移動させ、その後、自分を行動可能にする、かつ、自分とダブル相手に【補助不可】を付与(次回行動終了まで)、かつ対象が得ている【有利な状態】を自分とダブル相手に付与(1ターン)(行動可能にすること、補助不可の付与は1ターンに1回のみ)(有利な状態の付与について、パニックで反転している強化は付与されない)","",""
2177,"速指揮・歩行重視","Inf. Spd Tactic","ターン開始時、周囲2マスの味方の速さ+6(1ターン)<br>ただし、現在の部隊内で、同じ移動タイプが2体以下の味方のみが対象、かつ、上記対象のうち、歩行はさらに【見切り・追撃効果】を付与","",""
2178,"壊刃の戦槍","Breaker Lance","攻撃+3<br>ターン開始時、敵軍内で最も攻撃、守備の合計値が高い敵とその周囲2マス以内にいる敵の攻撃、守備-6(敵の次回行動終了まで)、かつ、【パニック】を付与<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、守備-6、自分は絶対追撃","",""
2179,"エリヴァーガル","Élivágar","自分から攻撃した時、戦闘後、敵の周囲2マスの敵強化の+を消し-とする(敵の次回行動終了まで)","",""
2180,"幽暗ヴラスキャルヴ","Veiled Valaskjálf","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5、かつ、敵から攻撃された時、先制攻撃","",""
2181,"剛毅果断",Dauntless,"2～5ターン目開始時、隊長とその周囲2マスの味方に「戦闘中、奥義発動カウント変動量+１」を付与(1ターン)、かつ、隊長の十字方向の敵に「キャンセル」(奥義発動カウント変動量-1になる状態異常)を付与(敵の次回行動終了まで)","",""
2182,"精霊の森の秘本","Spirit Forest Writ","竜特効<br>奥義が発動しやすい(発動カウント-1)<br>周囲3マス以内に味方がいる時、戦闘中、敵の攻撃、魔防-6、自分は絶対追撃、かつ、敵の「敵の守備か魔防の低い方でダメージ計算」を無効化、かつ、戦闘開始時、自身の魔防が敵より1以上高い時、戦闘中、さらに敵の攻撃、魔防が減少<br>減少値は、戦闘開始時の魔防の差×80%(最大12最小0)","竜特効<br>奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、周囲3マス以内に味方がいる時、戦闘中、敵の攻撃、魔防-6、自分が受けるダメージ-自分の魔防の20%(範囲奥義を除く)、自分は絶対追撃、かつ敵の「敵の守備か魔防の低い方でダメージ計算」を無効化、かつ戦闘開始時、自身の魔防が敵より1以上高い時、戦闘中、さらに敵の攻撃、魔防が減少減少値は、戦闘開始時の魔防の差(最大16)","ターン開始時、および、英雄決闘を除く敵軍ターン開始時、周囲2マス以内に味方がいる時、自分と周囲2マス以内の味方の攻撃、魔防+6、「弱化を無効」を付与(1ターン)、かつ奥義発動カウントが最大値なら、奥義発動カウント-1<br>周囲2マス以内の味方は、戦闘後、奥義発動カウントが最大値なら、奥義発動カウント-1<br>自分から攻撃した時、または、周囲3マス以内に味方がいる時、戦闘中、敵の攻撃、魔防-6、自分は、ダメージ+魔防の20％(範囲義を除く)、戦闘後、7回復、かつ奥義発動カウントが最大値なら、奥義発動カウント-1"
2183,"聖神と暗黒神の冠","Circlet of Balance","魔防の40%を奥義ダメージに加算<br>下記の条件を全て満たしている、かつ、HPが2以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(条件A:自分または敵が奥義発動可能状態の時、または、この戦闘(戦闘前、戦闘中)で自分または敵が奥義発動済みの時。条件B:自分から攻撃した時、または、敵が射程2の時)(1マップ1回のみ。この効果は奥義以外として扱う。奥義以外の「敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減する効果」とは重複しない)","",""
2184,"攻撃魔防の拍節3","Atk/Res Tempo 3","戦闘中、敵の攻撃、魔防-3、かつ、戦闘中、敵の奥義発動カウント変動量+を無効、かつ、自身の奥義発動カウント変動量-を無効","",""
2185,"光と闇と・承","Light and Dark II","戦闘中、自身の弱化を無効<br>戦闘中、敵の攻撃、速さ、守備、魔防-5、かつ敵の強化の+を無効にする(無効になるのは、鼓舞や応援等の効果)かつ「敵の守備か魔防の低い方でダメージ計算」を無効化","",""
2186,"天狼・神",Sirius+,"速さの35%を奥義ダメージに加算<br>与えたダメージの35%自分を回復<br>戦闘中、自身の奥義発動カウント変動量-を無効","",""
2187,"黒疾風の爪斧","Tempest's Claw","飛行特効無効<br>自身は青魔から特効を受ける<br>2回攻撃、速さ-5","飛行特効無効<br>自身は青魔から特効を受ける<br>2回攻撃、速さ-5","自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、自身の攻撃、守備+5、かつ、受けるダメージ-自分の守備の15%(範囲奥義を除く)、かつ、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)"
2188,"炎虎の爪牙","Fiery Fang","守備+3<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、守備+6、敵の攻撃、守備が、戦闘開始時の自分の守備の20%だけ減少、敵は追撃不可<br>ターン開始時、竜、獣以外の味方と隣接していない場合、化身状態になる(そうでない場合、化身状態を解除)<br>化身状態なら、攻撃+2、かつ、奥義発動時、奥義によるダメージ+7、戦闘中、敵の奥義発動カウント変動量+を無効、かつ、自身の奥義発動カウント変動量-を無効","",""
2189,"炎と風舞う霊槍","Firelight Lance","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5、ダメージ+敵の攻撃の15%、かつ、自分の速さが「敵の速さ-4」以上の時、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)<br>戦闘開始時、自身のHPが25%以上なら、戦闘後、自分と周囲4マス以内の味方の奥義発動カウント-1","",""
2190,"神速回避","Godlike Reflexes","奥義発動時、ダメージを40%軽減(奥義は、自分の速さが「敵の速さー4」以上の時のみ発動)<br>自分の速さが「敵の速さー4」以上なら、戦闘中、奥義発動可能状態の時、または、戦闘中、奥義を発動済みの時、ダメージ+速さの15%","",""
2191,"大いなるサカの掟","Verdict of Sacae","周囲4マス以内に味方がいる時、戦闘中、攻撃、速さ、守備、魔防が、周囲4マス以内の味方の数×4+4だけ増加(最大12)、かつ、奥義発動可能状態の時、または、この戦闘(戦闘前、戦闘中)で奥義を発動済みの時、戦闘中、ダメージ+5(範囲奥義除く)、かつ、自分の攻撃でダメージを与えた時、7回復(与えたダメージが0でも効果は発動)","",""
2192,"炎祭のブレス","Breath of Flame","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>ターン開始時、奥義発動カウントが最大値なら、奥義発動カウント-1<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、自身の攻撃+6、敵の攻撃-6、自分は絶対追撃、かつ敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て。例えば敵の「ダメージを45%軽減」なら半分の「22%」分を無効にし、「ダメージを23%軽減」にする)","",""
2193,"竜の魔鱗4","Dragon's Wrath 4","戦闘中、最初に受けた攻撃のダメージを25%軽減<br>攻撃が敵の魔防より高ければ、戦闘中、最初に与える攻撃のダメージに(自身の攻撃-敵の魔防)の25%を加算","",""
2194,"炎の軍配+","Frame Gunbai+","戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、守備+5、敵の攻撃、守備が、戦闘開始時の自分の守備の20%だけ減少","",""
2195,"炎の軍配","Frame Gunbai","戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、守備+5、敵の攻撃、守備が、戦闘開始時の自分の守備の20%だけ減少","",""
2196,"原初の炎の太鼓","Kindling Taiko","奥義が発動しやすい(発動カウント-1)<br>ターン開始時、自分と周囲2マスの味方に【再移動(1)】を付与(1ターン)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ+6、
自分の追撃不可を無効、かつ、自分から攻撃した時、かつ、敵が青、緑、無属性の時、戦闘中、自身の攻撃+戦闘開始時の自分の攻撃の20%、敵の攻撃-戦闘開始時の敵の攻撃の20%<br>【暗器(7)】効果","",""
2197,"速さ守備の大牽制","Spd/Def Hold","周囲3マスの敵は、戦闘中、速さ、守備-4","",""
2198,"守備魔防の城塞1","Fort. Def/Res 1","攻撃-3、守備、魔防+3","",""
2199,"魔器エリューズニル","Arcane Éljúðnir","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、守備-6、自分は絶対追撃、敵は追撃不可、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
2200,"武人の鉄剣","Warrior's Sword","攻撃+3<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5、かつ攻撃、速さ、守備、魔防が自分が受けている攻撃、速さ、守備、魔防の強化の値だけ上昇(能力値ごとに計算)、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)","",""
2201,"朱傭兵の双剣","Crimson Blades","速さ+5、守備、魔防-5<br>2回攻撃<br>戦闘開始時、自身のHPの割合に応じて以下の効果を発動(・20%以上なら、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)・40%以上なら、さらに、戦闘中、最初に受けた攻撃のダメージを40%軽減)","",""
2202,"速さ守備の防壁3","Spd/Def Bulwark 3","射程1の敵は、自分の周囲1マス以内を通過できない(すり抜けを持つ敵には無効)<br>射程2の敵は、自分の周囲2マス以内を通過できない(すり抜けを持つ敵には無効)<br>戦闘中、敵の速さ、守備-4、戦闘後、自分のHP7回復","",""
2203,"風呼びの根源","Wind Genesis","奥義が発動しやすい(発動カウント-1)<br>ターン開始時、自身のHPが25%以上なら、攻撃、速さ+6、【攻め立て】を付与(1ターン)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、速さ+6、敵の速さ、魔防が減少。減少値は、11-敵の奥義発動カウントの最大値×2(最低3、敵が奥義を装備していない時は3と扱う)","",""
2204,"速さ魔防の拍節3","Spd/Res Tempo 3","戦闘中、敵の速さ、魔防-3、かつ戦闘中、敵の奥義発動カウント変動量+を無効、かつ自身の奥義発動カウント変動量-を無効","",""
2205,"劫火フライクーゲル","Fuming Freikugel","奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、周囲2マス以内に自分より高い守備を持つ味方がいない時、または、周囲1マス以内に味方がいない時、戦闘中、自分の攻撃、速さ+6、戦闘中、最初に受けた攻撃のダメージを40%軽減、奥義発動時、ダメージ+速さの(20+自分の奥義発動カウントの最大値×10)%(範囲奥義除く)<br>周囲2マス以内の味方が戦闘開始時、その味方の守備がスキル所持者より高い時、または、スキル所持者が現在の各軍ターン(自軍ターンまたは敵軍ターン)で戦闘を行っていない時、戦闘中、その味方の攻撃、速さ、守備、魔防+3、戦闘中、最初に受けた攻撃のダメージを20%軽減","",""
2206,"回避・拍節3","Velocity 3","速さが敵より高い時、受けた範囲奥義のダメージと、戦闘中に攻撃を受けた時のダメージを速さの差×4%軽減(最大40%)(巨影の範囲奥義を除く)<br>自身の奥義発動カウント変動量-を無効","",""
2207,"攻撃守備の激突4","Atk/Def Clash 4","攻撃した側(自分からなら自分、敵からなら敵)の移動後のマスが移動前と異なる時、戦闘中、自分の攻撃、守備+6、さらに、移動後のマスが移動前から○マス離れていれば、自分の攻撃、守備+○(最大4)<br>○が2以上の時、戦闘中、自分の攻撃、守備の弱化を無効","",""
2208,"朱傭兵の戦斧","Crimson War-Axe","速さ+3<br>戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ+6、かつ戦闘開始時、自身のHPの割合に応じて以下の効果を発動(・20%以上なら、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)、・40%以上なら、さらに、戦闘中、最初に受けた攻撃のダメージを40%軽減)","",""
2209,"神舞のブレス","Faithful Breath","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>攻撃+3<br>「歌う」「踊る」を使用時、移動後の自分と対象それぞれの周囲4マス以内にいる、最も近い敵の守備、魔防-6(敵の次回行動終了時まで)<br>戦闘開始時、自身のHPが40%以上なら、戦闘中、攻撃、速さ+6、かつ自分から攻撃した時、自分の追撃不可を無効<br>戦闘開始時、自身のHPが40%以上なら、自分から攻撃した時、かつ、相性有利か敵が【不利な状態異常】を受けている時、敵は反撃不可","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>攻撃+3<br>「歌う」「踊る」を使用時、自分と対象それぞれの最も近い敵とその周囲2マス以内の敵の守備、魔防-7、【弱点露呈】、【パニック】を付与(敵の次回行動終了まで)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さが戦闘開始時の速さの10%+6だけ増加、かつ敵の絶対追撃を無効、かつ自分の追撃不可を無効<br>戦闘開始時、自身のHPが25%以上なら、相性有利か敵が【不利な状態異常】を受けている時、敵は反撃不可","【再移動(残り+1、最低2)】を発動可能<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ+6、ダメージ+○×5(最大25、範囲奥義を除く)(○は、自身の強化を除く【有利な状態】の数+敵の弱化を除く【不利な状態異常】の数)、敵の奥義以外のスキルによる「ダメージを○○%軽減」を半分無効(無効にする数値は端数切捨て)(範囲奥義を除く)"
2210,"尊き竜の血を継ぐ娘","Dragon's Dance","このスキルは「歌う」「踊る」として扱われる<br>「歌う」「踊る」を持つ対象には使用できない<br>対象を行動可能な状態にする<br>2ターン目以降なら、その後、自分を行動可能にする、かつ自分とダブル相手の攻撃、速さ+6(1ターン)、自分とダブル相手に【補助不可】を付与(次回行動終了まで)(「その後」以降の効果は、その効果が発動後3ターンの間発動しない)","",""
2211,"月夜の魔女の竜石","Moonlight Stone","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>敵から攻撃を受ける際に発動する奥義を装備していたら、1ターン目開始時、奥義発動カウント-2<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、攻撃、速さ、守備、魔防+5、自身の攻撃による奥義発動カウント変動量+1、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)、かつ、敵から攻撃を受ける際に発動する奥義発動時、受けるダメージ-8(祈り除く)","",""
2212,"攻撃速さの秘奥4","Atk/Spd Finish 4","周囲3マス以内に味方がいる時、戦闘中、攻撃、速さ+7、かつ、奥義が発動可能な状態の時、または、この戦闘(戦闘前、戦闘中)で奥義を発動済みの時、戦闘中、ダメージ+5(範囲奥義除く)、かつ、自分の攻撃でダメージを与えた時、7回復(与えたダメージが0でも効果は発動)","",""
2213,"星夜の魔術師の竜石","Starlight Stone","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、自身の攻撃+6、敵の攻撃-6、敵の奥義発動カウント変動量-1(同系統効果複数時、最大値適用)、かつ自分の攻撃でダメージを与えた時、7回復(与えたダメージが0でも効果は発動)、敵が追撃可能なら、戦闘中、最初に受けた攻撃のダメージを75%軽減","",""
2214,"竜の逆鱗4","Dragon's Ire 4","戦闘開始時、自身のHPが25%以上なら、戦闘中、敵の攻撃、魔防-4、自分は絶対追撃、かつ敵から攻撃された時、自分の追撃不可を無効","",""
2215,"幽静のブレス+","Serenity Breath+","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、敵の攻撃、魔防-5、敵は追撃不可","",""
2216,"幽静のブレス","Serenity Breath","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、敵の攻撃、魔防-5、敵は追撃不可","",""
2217,"赤と青の奇なる鬼火","Ghostly Lanterns","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上の時、戦闘中、自分の攻撃+6、敵の攻撃-6、敵の絶対追撃を無効、敵は追撃不可<br>戦闘開始時、自身のHPが25%以上の時、かつ敵が攻撃時発動奥義装備時、かつ戦闘中、魔防が敵より5以上高い時、敵の最初の攻撃前に敵の奥義発動カウント+1(奥義発動カウントの最大値は超えない)","",""
2218,"遠反・鬼神の構え","Distant Ferocity","敵から攻撃された時、距離に関係なく反撃する、かつ戦闘中、攻撃+5","",""
2219,"試練メガクェイク","Woeful Upheaval","1ターン目開始時、全ての敵に7ダメージ<br>戦闘中、最初に受けた攻撃のダメージを○×3%軽減<br>○は、自分と敵の攻撃の差(最低0)+戦闘開始時の敵の最大HPと現HPの差(最大30%)<br>周囲2マス以内の味方が、弓、暗器、魔法、杖の敵から攻撃された時、スキル所持者は【護り手】を発動","",""
2220,"一驚のブレス+","Surprise Breath+","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、魔防+5、敵の攻撃、魔防が、戦闘開始時の自分の魔防の20%だけ減少","",""
2221,"一驚のブレス","Surprise Breath","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、自身の攻撃、魔防+5、敵の攻撃、魔防が、戦闘開始時の自分の魔防の20%だけ減少","",""
2222,"攻撃魔防の機先3","Atk/Res Catch 3","敵のHPが100%で戦闘開始時、または、敵が【不利な状態異常】を受けている時、戦闘中、自分の攻撃、魔防+5","",""
2223,"永生ユーミル","Ymir, Everliving","奥義が発動しやすい(発動カウント-1)<br>自分から攻撃した時、または、敵が射程2の時、戦闘中、攻撃、速さ、守備、魔防+5、さらに、戦闘開始時のHPが、自分を除いて2番目に低い味方の戦闘開始時のHPの40%を攻撃に加算(上限20、味方が1体以下の時は0)、自分の追撃不可を無効<br>自分から攻撃した時、または、敵が射程2の時、かつ自分のHPが25%以上で敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減(1戦闘1回のみ。奥義以外の「敵の致死攻撃を受けた時、ダメージをHPが1残るように軽減する効果」とは重複しない)<br>【暗器(7)】効果<br>【暗器(7)】戦闘中に攻撃していれば、戦闘後に敵と、その周囲2マスの敵の守備、魔防-7(敵の次回行動終了まで)","",""
2224,"魔器ギムレー","Arcane Grima","射程2の敵に、敵の守備か魔防の低い方でダメージ計算<br>奥義が発動しやすい(発動カウント-1)<br>戦闘開始時、自身のHPが25%以上なら、戦闘中、攻撃、速さ、守備、魔防+5、絶対追撃、ダメージ+攻撃の15%(戦闘前奥義も含む)、かつ戦闘後、HP7回復","",""
2225,"邪竜の重鱗",Dragonhide,"重装特効無効<br>敵から攻撃された時、または、戦闘開始時、敵のHPが75%以上の時、戦闘中、敵の攻撃、速さ、守備、魔防-8、自身の奥義発動カウント変動量+1(同系統効果複数時、最大値適用)","",""
2226,"刃の護り手・近間3","A/S Near Save 3","周囲2マス以内の味方が、剣、槍、斧、竜、獣の敵から攻撃された時、スキル所持者は【護り手】を発動<br>スキル所持者が「護り手」を発動時、戦闘中、攻撃、速さ+4<br>【護り手】攻撃された味方の代わりに、味方のマスで戦闘を行い、戦闘後の効果を受ける。下記の場合、「護り手」は発動しない。味方がいる場所が自分が侵入できない地形の時、その戦闘で「護り手」を発動可能な味方が複数いる時(「護り手」発動時、戦闘後移動スキルは無効)","",""
2227,"厚情の剛剣","Blade of Favors","奥義が発動しやすい(発動カウント-1)<br>自軍ターン開始時、および、敵軍ターン開始時、自身を中心とした縦3列と横3列に敵がいる時、その敵の攻撃、速さ、守備-6(敵の次回行動終了まで)、自分の攻撃、速さ、守備+6(1ターン)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、敵の攻撃、速さ、守備-5、かつ、敵が攻撃、速さ、守備の弱化を受けていれば、戦闘中、敵の攻撃、速さ、守備が弱化の値だけ減少(能力値ごとに計算)(例えば、攻撃-7の弱化を受けていれば、-7-7-5で、戦闘中、攻撃-19となる)<br>自分から攻撃した時、または、周囲2マス以内に味方がいる時、戦闘中、最初に受けた攻撃のダメージを40%軽減","",""
2228,"不壊4","Solid Ground 4","攻撃、守備+7<br>魔防-5","",""
2229,"不壊3","Solid Ground 3","攻撃、守備+5<br>魔防-5","",""
